Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
TL,2014-06-10,chromium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,cobalt_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,copper_dissolved,0.2,BDL,0.2,0.1
TL,2014-06-10,iron_dissolved,NA,DET,109,109
TL,2014-06-10,lead_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,lithium_dissolved,NA,DET,4.05,4.05
TL,2014-06-10,manganese_dissolved,NA,DET,3.8,3.8
TL,2014-06-10,mercury_dissolved,0.01,BDL,0.01,0.005
TL,2014-06-10,molybdenum_dissolved,NA,DET,0.6,0.6
TL,2014-06-10,nickel_dissolved,NA,DET,0.7,0.7
TL,2014-06-10,rubidium_dissolved,NA,DET,0.45,0.45
TL,2014-06-10,strontium_dissolved,NA,DET,66.95,66.95
TL,2014-06-10,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2014-06-10,titanium_dissolved,NA,DET,0.25,0.25
TL,2014-06-10,uranium_dissolved,NA,DET,0.25,0.25
TL,2014-06-10,vanadium_dissolved,NA,DET,0.1,0.1
TL,2014-06-10,zinc_dissolved,0.4,BDL,0.4,0.2
TL,2014-06-10,aluminum_total,NA,DET,71.55,71.55
TL,2014-06-10,antimony_total,0.1,BDL,0.1,0.05
TL,2014-06-10,arsenic_total,NA,DET,0.4,0.4
TL,2014-06-10,barium_total,NA,DET,33.4,33.4
TL,2014-06-10,beryllium_total,0.1,BDL,0.1,0.05
TL,2014-06-10,cadmium_total,0.1,BDL,0.1,0.05
TL,2014-06-10,cesium_total,0.1,BDL,0.1,0.05
TL,2014-06-10,chromium_total,NA,DET,0.65,0.65
TL,2014-06-10,cobalt_total,0.1,BDL,0.1,0.05
TL,2014-06-10,copper_total,0.2,BDL,0.2,0.1
TL,2014-06-10,iron_total,NA,DET,266,266
TL,2014-06-10,lead_total,0.1,BDL,0.1,0.05
TL,2014-06-10,lithium_total,NA,DET,3.7,3.7
TL,2014-06-10,manganese_total,NA,DET,14.6,14.6
TL,2014-06-10,mercury_total,0.01,BDL,0.01,0.005
TL,2014-06-10,molybdenum_total,NA,DET,0.6,0.6
TL,2014-06-10,nickel_total,NA,DET,0.7,0.7
TL,2014-06-10,rubidium_total,NA,DET,0.8,0.8
TL,2014-06-10,selenium_total,0.5,BDL,0.5,0.25
TL,2014-06-10,silver_total,0.1,BDL,0.1,0.05
TL,2014-06-10,strontium_total,NA,DET,70.85,70.85
TL,2014-06-10,thallium_total,0.1,BDL,0.1,0.05
TL,2014-06-10,titanium_total,NA,DET,1.3,1.3
TL,2014-06-10,uranium_total,NA,DET,0.2,0.2
TL,2014-06-10,vanadium_total,NA,DET,0.3,0.3
TL,2014-06-10,zinc_total,5,BDL,5,2.5
TL,2014-06-10,nitrogen_total,NA,DET,0.585,0.585
TL,2014-06-10,phosphorus_dissolved,0.002,BDL,0.002,0.001
TL,2014-06-10,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2014-06-10,silver_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,turbidity,NA,DET,3.06,3.06
TL,2014-08-27,total_hardness,NA,DET,152,152
TL,2014-08-27,ph,NA,DET,8.08,8.08
TL,2014-08-27,ammonia,NA,DET,0.013,0.013
TL,2014-08-27,nitrogen_dissolved,NA,DET,0.64,0.64
TL,2014-08-27,nitrogen_total,NA,DET,0.68,0.68
TL,2014-08-27,organic_carbon_dissolved,NA,DET,23.2,23.2
TL,2014-08-27,organic_carbon_total,NA,DET,23.1,23.1
TL,2014-08-27,phosphorus_dissolved,0.002,BDL,0.002,0.001
TL,2014-08-27,phosphorus_total,NA,DET,0.009,0.009
TL,2014-08-27,alkalinity_total,NA,DET,132,132
TL,2014-08-27,specific_conductance,NA,DET,271,271
TL,2014-08-27,total_dissolved_solids,NA,DET,198,198
TL,2014-08-27,total_suspended_solids,3,BDL,3,1.5
TL,2014-08-27,calcium,NA,DET,47.1,47.1
TL,2014-08-27,chloride,NA,DET,0.8,0.8
TL,2014-08-27,fluoride,0.1,BDL,0.1,0.05
TL,2014-08-27,magnesium,NA,DET,8.5,8.5
TL,2014-08-27,nitrate,NA,DET,0.06,0.06
TL,2014-08-27,nitrite,0.01,BDL,0.01,0.005
TL,2014-08-27,potassium,NA,DET,0.3,0.3
TL,2014-08-27,sodium,NA,DET,4.7,4.7
TL,2014-08-27,sulfate,NA,DET,14,14
TL,2014-08-27,aluminum_dissolved,NA,DET,2.7,2.7
TL,2014-08-27,antimony_dissolved,NA,DET,0.1,0.1
TL,2014-08-27,arsenic_dissolved,NA,DET,0.4,0.4
TL,2014-08-27,barium_dissolved,NA,DET,39.9,39.9
TL,2014-08-27,beryllium_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2014-08-27,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,chromium_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,cobalt_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,copper_dissolved,0.2,BDL,0.2,0.1
TL,2014-08-27,iron_dissolved,NA,DET,38,38
TL,2014-08-27,lead_dissolved,NA,DET,0.1,0.1
TL,2014-08-27,lithium_dissolved,NA,DET,4.8,4.8
TL,2014-08-27,manganese_dissolved,NA,DET,0.4,0.4
TL,2014-08-27,mercury_dissolved,0.01,BDL,0.01,0.005
TL,2014-08-27,molybdenum_dissolved,NA,DET,0.5,0.5
TL,2014-08-27,nickel_dissolved,NA,DET,0.6,0.6
TL,2014-08-27,rubidium_dissolved,NA,DET,0.6,0.6
TL,2014-08-27,selenium_dissolved,0.3,BDL,0.3,0.15
TL,2014-08-27,silver_dissolved,0.3,BDL,0.3,0.15
TL,2014-08-27,strontium_dissolved,NA,DET,96.1,96.1
TL,2014-08-27,thallium_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,titanium_dissolved,0.1,BDL,0.1,0.05
TL,2014-08-27,uranium_dissolved,NA,DET,0.2,0.2
TL,2014-08-27,vanadium_dissolved,NA,DET,0.2,0.2
TL,2014-08-27,zinc_dissolved,NA,DET,2.5,2.5
TL,2014-08-27,aluminum_total,NA,DET,30.7,30.7
TL,2014-08-27,antimony_total,0.1,BDL,0.1,0.05
TL,2014-08-27,arsenic_total,NA,DET,0.6,0.6
TL,2014-08-27,barium_total,NA,DET,44.8,44.8
TL,2014-08-27,beryllium_total,0.1,BDL,0.1,0.05
TL,2014-08-27,cadmium_total,0.1,BDL,0.1,0.05
TL,2014-08-27,cesium_total,0.1,BDL,0.1,0.05
TL,2014-08-27,chromium_total,NA,DET,1.2,1.2
TL,2014-08-27,cobalt_total,NA,DET,0.1,0.1
TL,2014-08-27,copper_total,NA,DET,0.3,0.3
TL,2014-08-27,iron_total,NA,DET,315,315
TL,2014-08-27,lead_total,0.1,BDL,0.1,0.05
TL,2014-08-27,lithium_total,NA,DET,5.2,5.2
TL,2014-08-27,manganese_total,NA,DET,15.7,15.7
TL,2014-08-27,mercury_total,NA,DET,0.01,0.01
TL,2014-08-27,molybdenum_total,NA,DET,0.6,0.6
TL,2014-08-27,nickel_total,NA,DET,0.8,0.8
TL,2014-08-27,rubidium_total,NA,DET,0.7,0.7
TL,2014-08-27,selenium_total,0.5,BDL,0.5,0.25
TL,2014-08-27,silver_total,0.1,BDL,0.1,0.05
TL,2014-08-27,strontium_total,NA,DET,102,102
TL,2014-08-27,thallium_total,0.1,BDL,0.1,0.05
TL,2014-08-27,titanium_total,NA,DET,0.5,0.5
TL,2014-08-27,uranium_total,NA,DET,0.2,0.2
TL,2014-08-27,vanadium_total,NA,DET,0.2,0.2
TL,2014-08-27,zinc_total,5,BDL,5,2.5
TL,2015-04-08,turbidity,NA,DET,8.78,8.78
TL,2015-04-08,ph,NA,DET,7.3,7.3
TL,2015-04-08,nitrogen_dissolved,NA,DET,0.8,0.8
TL,2015-04-08,nitrogen_total,NA,DET,0.95,0.95
