Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2014-03-20,iron_total,NA,DET,537,537,6.285998095
TL,2014-03-20,lead_total,NA,DET,0.2,0.2,-1.609437912
TL,2014-03-20,lithium_total,NA,DET,9.2,9.2,2.219203484
TL,2014-03-20,manganese_total,NA,DET,63.5,63.5,4.151039906
TL,2014-03-20,mercury_total,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-03-20,molybdenum_total,NA,DET,0.8,0.8,-0.223143551
TL,2014-03-20,nickel_total,NA,DET,1,1,0
TL,2014-03-20,rubidium_total,NA,DET,1,1,0
TL,2014-03-20,selenium_total,0.5,BDL,0.5,0.25,-1.386294361
TL,2014-03-20,silver_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,strontium_total,NA,DET,185,185,5.220355825
TL,2014-03-20,thallium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,titanium_total,NA,DET,0.9,0.9,-0.105360516
TL,2014-03-20,uranium_total,NA,DET,0.6,0.6,-0.510825624
TL,2014-03-20,vanadium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-03-20,zinc_total,NA,DET,9.4,9.4,2.240709689
TL,2014-06-10,turbidity,NA,DET,3.655,3.655,1.296096093
TL,2014-06-10,total_hardness,NA,DET,106,106,4.663439094
TL,2014-06-10,ph,NA,DET,8.105,8.105,2.092481155
TL,2014-06-10,nitrogen_dissolved,NA,DET,0.52,0.52,-0.653926467
TL,2014-06-10,organic_carbon_dissolved,NA,DET,17.2,17.2,2.844909384
TL,2014-06-10,organic_carbon_total,NA,DET,17.85,17.85,2.882003508
TL,2014-06-10,phosphorus_total,NA,DET,0.0095,0.0095,-4.65646348
TL,2014-06-10,alkalinity_total,NA,DET,93,93,4.532599493
TL,2014-06-10,specific_conductance,NA,DET,215,215,5.370638028
TL,2014-06-10,total_dissolved_solids,NA,DET,157,157,5.056245805
TL,2014-06-10,total_suspended_solids,NA,DET,5,5,1.609437912
TL,2014-06-10,calcium,NA,DET,32.75,32.75,3.488902962
TL,2014-06-10,chloride,NA,DET,1,1,0
TL,2014-06-10,fluoride,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,magnesium,NA,DET,5.95,5.95,1.78339122
TL,2014-06-10,nitrate,NA,DET,0.075,0.075,-2.590267165
TL,2014-06-10,nitrite,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-06-10,potassium,NA,DET,0.75,0.75,-0.287682072
TL,2014-06-10,sodium,NA,DET,3.8,3.8,1.335001067
TL,2014-06-10,sulfate,NA,DET,15,15,2.708050201
TL,2014-06-10,aluminum_dissolved,NA,DET,6.6,6.6,1.887069649
TL,2014-06-10,antimony_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,arsenic_dissolved,NA,DET,0.3,0.3,-1.203972804
TL,2014-06-10,barium_dissolved,NA,DET,39.9,39.9,3.686376324
TL,2014-06-10,beryllium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,cadmium_dissolved,0.05,BDL,0.05,0.025,-3.688879454
TL,2014-06-10,cesium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,chromium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,cobalt_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,copper_dissolved,0.2,BDL,0.2,0.1,-2.302585093
TL,2014-06-10,iron_dissolved,NA,DET,109,109,4.691347882
TL,2014-06-10,lead_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,lithium_dissolved,NA,DET,4.05,4.05,1.398716881
TL,2014-06-10,manganese_dissolved,NA,DET,3.8,3.8,1.335001067
TL,2014-06-10,mercury_dissolved,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-06-10,molybdenum_dissolved,NA,DET,0.6,0.6,-0.510825624
TL,2014-06-10,nickel_dissolved,NA,DET,0.7,0.7,-0.356674944
TL,2014-06-10,rubidium_dissolved,NA,DET,0.45,0.45,-0.798507696
TL,2014-06-10,strontium_dissolved,NA,DET,66.95,66.95,4.203946072
TL,2014-06-10,thallium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,titanium_dissolved,NA,DET,0.25,0.25,-1.386294361
TL,2014-06-10,uranium_dissolved,NA,DET,0.25,0.25,-1.386294361
TL,2014-06-10,vanadium_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2014-06-10,zinc_dissolved,0.4,BDL,0.4,0.2,-1.609437912
TL,2014-06-10,aluminum_total,NA,DET,71.55,71.55,4.270396506
TL,2014-06-10,antimony_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,arsenic_total,NA,DET,0.4,0.4,-0.916290732
TL,2014-06-10,barium_total,NA,DET,33.4,33.4,3.5085559
TL,2014-06-10,beryllium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,cadmium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,cesium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,chromium_total,NA,DET,0.65,0.65,-0.430782916
TL,2014-06-10,cobalt_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,copper_total,0.2,BDL,0.2,0.1,-2.302585093
TL,2014-06-10,iron_total,NA,DET,266,266,5.583496309
TL,2014-06-10,lead_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,lithium_total,NA,DET,3.7,3.7,1.30833282
TL,2014-06-10,manganese_total,NA,DET,14.6,14.6,2.681021529
TL,2014-06-10,mercury_total,0.01,BDL,0.01,0.005,-5.298317367
TL,2014-06-10,molybdenum_total,NA,DET,0.6,0.6,-0.510825624
TL,2014-06-10,nickel_total,NA,DET,0.7,0.7,-0.356674944
TL,2014-06-10,rubidium_total,NA,DET,0.8,0.8,-0.223143551
TL,2014-06-10,selenium_total,0.5,BDL,0.5,0.25,-1.386294361
TL,2014-06-10,silver_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,strontium_total,NA,DET,70.85,70.85,4.260564966
TL,2014-06-10,thallium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-06-10,titanium_total,NA,DET,1.3,1.3,0.262364264
TL,2014-06-10,uranium_total,NA,DET,0.2,0.2,-1.609437912
TL,2014-06-10,vanadium_total,NA,DET,0.3,0.3,-1.203972804
TL,2014-06-10,zinc_total,5,BDL,5,2.5,0.916290732
TL,2014-06-10,nitrogen_total,NA,DET,0.585,0.585,-0.536143432
TL,2014-06-10,phosphorus_dissolved,0.002,BDL,0.002,0.001,-6.907755279
TL,2014-06-10,selenium_dissolved,0.3,BDL,0.3,0.15,-1.897119985
TL,2014-06-10,silver_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,turbidity,NA,DET,3.06,3.06,1.118414916
TL,2014-08-27,total_hardness,NA,DET,152,152,5.023880521
TL,2014-08-27,ph,NA,DET,8.08,8.08,2.089391873
TL,2014-08-27,ammonia,NA,DET,0.013,0.013,-4.342805922
TL,2014-08-27,nitrogen_dissolved,NA,DET,0.64,0.64,-0.446287103
TL,2014-08-27,nitrogen_total,NA,DET,0.68,0.68,-0.385662481
TL,2014-08-27,organic_carbon_dissolved,NA,DET,23.2,23.2,3.144152279
TL,2014-08-27,organic_carbon_total,NA,DET,23.1,23.1,3.139832618
TL,2014-08-27,phosphorus_dissolved,0.002,BDL,0.002,0.001,-6.907755279
TL,2014-08-27,phosphorus_total,NA,DET,0.009,0.009,-4.710530702
TL,2014-08-27,alkalinity_total,NA,DET,132,132,4.882801923
TL,2014-08-27,specific_conductance,NA,DET,271,271,5.602118821
TL,2014-08-27,total_dissolved_solids,NA,DET,198,198,5.288267031
TL,2014-08-27,total_suspended_solids,3,BDL,3,1.5,0.405465108
TL,2014-08-27,calcium,NA,DET,47.1,47.1,3.852273001
TL,2014-08-27,chloride,NA,DET,0.8,0.8,-0.223143551
TL,2014-08-27,fluoride,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,magnesium,NA,DET,8.5,8.5,2.140066163
TL,2014-08-27,nitrate,NA,DET,0.06,0.06,-2.813410717
